,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,trending
0,BIThesis,https://bithesis.bitnp.net,BITNP/BIThesis,template,['latex'],https://github.com/BITNP/BIThesis,LPPL-1.3c,2020-01-12 14:44:20,2023-03-30 01:39:24,2023-03-24 02:29:27,715,95.0,76.0,7.0,127.0,5.0,126.0,345.0,2023-03-16 11:50:06,3.4.3,5244.0,141.0,54.0,LaTeX wiki release.,18.0,18,True,1,,,,
1,Srun,https://github.com/vouv/srun,vouv/srun,tool,['go'],https://github.com/vouv/srun,MIT,2018-09-13 14:25:59,2022-10-17 15:36:10,2022-10-17 15:36:06,152,,22.0,4.0,3.0,,6.0,83.0,2021-01-02 10:19:25,1.1.5,1007.0,22.0,25.0,,5.0,13,True,1,,,,
2,bitsrun,https://github.com/BITNP/bitsrun,BITNP/bitsrun,tool,['python'],https://github.com/BITNP/bitsrun,WTFPL,2018-09-02 04:01:05,2023-03-23 01:04:11,2023-03-23 01:04:09,114,76.0,6.0,2.0,26.0,1.0,5.0,29.0,2023-02-09 03:54:17,3.5.0,,97.0,6.0,A headless login / logout script for 10.0.0.55 at BIT. 10.0.0.55 Python.,7.0,13,True,1,bitsrun,https://pypi.org/project/bitsrun,97.0,
3,Web VPN Converter,https://webvpn.swo.moe/,spencerwooo/bit-webvpn-converter,website,['Web'],https://github.com/spencerwooo/bit-webvpn-converter,,2020-07-01 04:30:50,2023-03-30 00:03:15,2023-03-30 00:03:11,124,49.0,23.0,3.0,75.0,1.0,7.0,66.0,,,,,,Web VPN converter.,7.0,10,True,1,,,,1.0
4,BIT-CS,https://github.com/xiabee/BIT-CS,xiabee/BIT-CS,learning,,https://github.com/xiabee/BIT-CS,Apache-2.0,2020-03-14 12:24:55,2021-12-14 11:20:18,2021-12-14 11:18:13,67,,28.0,4.0,,2.0,2.0,110.0,,,,,,//PR.,,8,False,1,,,,
5,BITCS Coursework,https://github.com/spencerwooo/BITCS-Coursework,spencerwooo/BITCS-Coursework,learning,,https://github.com/spencerwooo/BITCS-Coursework,CC-BY-SA-4.0,2019-04-29 15:24:01,2021-06-07 05:15:07,2020-01-11 10:15:06,17,,26.0,3.0,1.0,,,113.0,,,,,,,2.0,7,False,2,,,,
6,BIT-CS-Learning,https://github.com/songshangru/BIT-CS-Learning,songshangru/BIT-CS-Learning,learning,,https://github.com/songshangru/BIT-CS-Learning,,2021-01-01 06:09:41,2023-02-08 04:21:25,2023-02-08 04:21:25,86,3.0,41.0,4.0,12.0,,2.0,103.0,,,,,,,3.0,7,True,2,,,,
7,BIT101,https://bit101.cn,flwfdd/BIT101,website,"['Web', 'python']",https://github.com/flwfdd/BIT101,MIT,2022-02-22 13:24:29,2023-03-30 11:27:26,2023-03-07 09:07:09,41,6.0,3.0,2.0,1.0,3.0,6.0,47.0,,,,,,,2.0,7,True,3,,,,1.0
8,北京理工大学-本科-人工智能专业-通关经验包,https://github.com/Robin-WZQ/BIT-AI-Review,Robin-WZQ/BIT-AI-Review,learning,,https://github.com/Robin-WZQ/BIT-AI-Review,,2022-01-04 03:42:17,2023-03-02 11:51:02,2023-03-02 11:51:02,549,3.0,5.0,1.0,2.0,1.0,1.0,26.0,,,,,,star.,3.0,6,True,3,,,,
9,BIT自动请假,https://github.com/YoungKlaus/BIT_Auto_Leave,YoungKlaus/BIT_Auto_Leave,tool,['python'],https://github.com/YoungKlaus/BIT_Auto_Leave,,2022-09-28 09:14:11,2022-11-08 16:00:52,2022-11-08 16:00:52,31,,28.0,1.0,1.0,,1.0,29.0,,,,,,,,5,True,2,,,,
10,BITCS-final-exam-learning-materials,https://github.com/tulerfeng/BITCS-final-exam-learning-materials,tulerfeng/BITCS-final-exam-learning-materials,learning,,https://github.com/tulerfeng/BITCS-final-exam-learning-materials,GPL-3.0,2021-05-25 04:40:22,2021-05-25 03:23:44,2021-05-25 03:22:08,5,,6.0,1.0,,,,26.0,,,,,,CS/PR.,,5,False,3,,,,
11,SecretWeapon,https://github.com/BITNP/SecretWeapon,BITNP/SecretWeapon,learning,,https://github.com/BITNP/SecretWeapon,,2016-03-27 05:57:53,2021-12-09 03:32:00,2021-12-09 03:32:00,35,,13.0,7.0,1.0,,1.0,23.0,,,,,,Secret weapons that arm your studies.,8.0,5,False,3,,,,
12,BIT-Titled-Letter-Paper,https://github.com/jincao2013/BIT-Titled-Letter-Paper,jincao2013/BIT-Titled-Letter-Paper,misc,,https://github.com/jincao2013/BIT-Titled-Letter-Paper,MIT,2019-05-07 10:03:17,2019-05-07 10:15:06,2019-05-07 10:15:06,4,,,,,,,10.0,,,,,,Beijing institute of technology titled letter paper ().,,5,False,1,,,,
13,BIT-enhanced,https://ydx-2147483647.github.io/BIT-enhanced/,YDX-2147483647/BIT-enhanced,tool,['Web'],https://github.com/YDX-2147483647/BIT-enhanced,GPL-3.0,2021-01-19 12:34:37,2023-03-16 13:54:04,2023-03-16 13:53:55,160,3.0,,1.0,1.0,,2.0,4.0,,,,,,BIT.,3.0,5,True,2,,,,
14,Bulletin Issues Transferred,https://haobit.top/dev/site/notice/,YDX-2147483647/bulletin-issues-transferred,tool,['Web'],https://github.com/YDX-2147483647/bulletin-issues-transferred,MIT,2021-12-11 15:23:43,2023-03-17 14:51:34,2023-03-17 14:51:34,116,15.0,,1.0,3.0,6.0,7.0,1.0,,,,,,BITRSS.,2.0,5,True,2,,,,
15,Bus Interrogation Tunnel,https://github.com/YDX-2147483647/bus-interrogation-tunnel,YDX-2147483647/bus-interrogation-tunnel,tool,['python'],https://github.com/YDX-2147483647/bus-interrogation-tunnel,MIT,2023-03-11 16:48:57,2023-03-14 09:16:37,2023-03-14 09:13:21,8,8.0,,1.0,,,,1.0,,,,133.0,,BIT bitbus.,,4,True,3,bus-interrogation-tunnel,https://pypi.org/project/bus-interrogation-tunnel,133.0,
16,北京理工大学计算机学院视觉形象系统,https://github.com/BITCS1958/BITCS-Visual-image-recognition-system,BITCS1958/BITCS-Visual-image-recognition-system,misc,,https://github.com/BITCS1958/BITCS-Visual-image-recognition-system,,2019-06-02 12:58:52,2019-06-03 14:54:45,2019-06-03 14:53:36,3,,7.0,1.0,,,,17.0,,,,,,,,3,False,3,,,,
17,BIT WebVPN URL 双向转换器（浏览器扩展）,https://addons.mozilla.org/zh-CN/firefox/addon/bit-webvpn-converter/,YDX-2147483647/bit-webvpn-converter-web-extension,tool,['Web'],https://github.com/YDX-2147483647/bit-webvpn-converter-web-extension,,2022-11-12 13:43:24,2023-02-01 03:34:48,2022-11-14 11:14:41,14,,,1.0,,1.0,,,,,,,,BIT WebVPN URL.,,2,True,3,,,,
